7;By case nb;Continent;Countries;;Schools;date;Restaurants;date;Sporting Events;Date;Elections;Date;Mass Gatherings;Date;Travel Restrictions;Date;Domestic lockdown;Date;Public Testing;Health Emergency;Date;Economy Support;Date;First case(s) confirmed;Enhanced Surveillance (?);;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;1;Asia;China;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2;Europe;Italy;;;March 4;;March 12;;March 9;Postponed, both the national referendum and local elections (6 regional elections and 1.168 municipal elections);;;March 10;International & Domestic travel suspended- only work is allowed;March 10;Non essential shops closed. All citizen at home.;March 10;;State of Emergency declared;January 31;25 billion euros Plan;March 10;January 30;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Mortgage payments suspended;;;;;;;;
12;5;Europe;Spain;;;March 13;;March 14;;March 10;N/A;;;March 10;Recommendations;March 12;Non essential shops closed. All citizen at home, but you can still go to work. All activities outsides are tracked by the police.;March 17;widely available;State Emergency;March 16;provide credit lines to small businesses;March 10;January 31;;;;;;
13;6;Europe;Germany;;;March 16;open between 6am to 3pm or 6pm depending on the lander. guests to be 1.5 metres apart;March 18;;March 18;Communal elections in Bavaria maintained on March 15;;;March 14;international & Domestic travel suspended- only work is allowed;March 18;All citizen at home.;March 18;widely available;Pandemic;March 4;provide additional budget funds of up to 1 billion Euro (1.1 billion Dollars or 0.9 billion Pounds) for the fight against the virus, including medical research. €26 Billion in support of impending wage gaps due to shortened work weeks, production stops,etc.;March 11;January 28;;;;;;
14;7;Europe;France;;;March 12;;March 13;;March 13;Municipal Election 2nd round now postponed;;;March 13;;March 14;Non-essential movements banned;March 17;N/A;LEVEL 3;;N/A;;January 24;;;;;;
16;8;US;Alabama;;Closed;3/18/2020;Take-Out Only;3/17/2020;<25;3/17/2020;N/A;N/A;<25;3/17/2020;;;;;Limited Private Testing with Doctor's Order;Emergency Declared;03/13/2020;;;March 13;;;;;;
17;8;US;Alaska;;Closed;3/16/2020;Take-Out Only;3/18/2020;<50 Anchorage Only;3/17/2020;;4-4-2020;<50 Anchorage Only;3/17/2020;;;;;Limited Private Testing with Doctor's Order;Emergency Declared;3-11-2020;;;March 13;;;;;;
18;8;US;Arizona;;All Schools Closed Two Weeks;3/15/2020;Take-Out Only in some cities;3/17/2020;<50;3/15/2020;;03/17/2020;<50;3/15/2020;;;;;Limited Private Testing with Doctor's Order;Emergency Declared;3-11-2020;;;March 10;;;;;;
19;8;US;Arkansas;;Closed;3/15/2020;;;;;N/A;N/A;;;;;;;Limited Private Testing with Doctor's Order;Emergency Declared;3-11-2020;;;March 11;;;;;;
20;8;US;California;;Closed;3/17/2020;Statewide all bars, wineries, breweries closed. In 12 Bay Area Counties and Los Angeles Takeout Only;3/17/2020;<250;3-12-2020;N/A;N/A;<250. No Gatherings in lock-down counties.;3-12-2020;Shelter-In-Place in 12 counties. Only allowed to exit home for grocery or medical care. Punishable by fines.;3/17/2020;Shelter-In-Place in 12 counties. Only allowed to exit home for grocery or medical care. Punishable by fines.;3/17/2020;Limited Private Testing with Doctor's Order;Emergency Declared;3-4-2020;Unemployment Insurance given by the state, taxes modified. Benefits for workers laid-off and those with 0 hour contracts.;3-12-2020;January 25;;;;;;
21;8;US;Colorado;;Closed Until April 7.;3/18/2020;Take-Out Only;3/16/2020;<10;3/18/2020;N/A;N/A;<10;3/18/2020;;;;;Limited Private Testing with Doctor's Order;Emergency Declared;3-10-2020;Legislation proposed, but not enacted.;03/16/2020;March 10;;;;;;
23;8;US;Delaware;;Closed;3/13/2020;Take-Out Only;3/16/2020;<50;3/16/2020;As planned;04/28/2020;<50;3/16/2020;;;;;Limited Private Testing with Doctor's Order;Emergency Declared;3-12-2020;Unemployment restrictions eases, loans for small businesses.;03/17/2020;March 11;;;;;;
24;8;US;Florida;;Closed Until April 7.;3/16/2020;Nightclubs and Bars, some cities take out only.;3/17/2020;<10 on beaches only;3/17/2020;N/A;N/A;<10 on beaches only;3/17/2020;;;;;Limited Private Testing with Doctor's Order;Emergency Declared;3-11-2020;Loans for small businesses;03/16/2020;March 10;;;;;;
29;8;US;Indiana;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;8;US;Iowa;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;8;US;Kansas;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;8;US;Kentucky;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;8;US;Louisiana;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;8;US;Maine;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;8;US;Maryland;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;8;US;Massachusetts;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;8;US;Michigan;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;8;US;Minnesota;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;8;US;Mississippi;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;8;US;Missouri;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;8;US;Montana;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;8;US;Nebraska;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;8;US;Nevada;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;8;US;New Hampshire;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;8;US;New Jersey;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;8;US;New Mexico;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;8;US;New York;;;3/16/2020;;;;;;;;;;;;;;;;;;;;;;;;
48;8;US;North Carolina;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;8;US;North Dakota;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;8;US;Ohio;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;8;US;Oklahoma;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;8;US;Oregon;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;8;US;Pennsylvania;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;8;US;Rhode Island;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;8;US;South Carolina;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;8;US;South Dakota;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;8;US;Tennessee;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;8;US;Texas;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;8;US;Utah;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;8;US;Vermont;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;8;US;Virginia;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;8;US;Washington;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;8;US;West Virginia;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;8;US;Wisconsin;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;8;US;Wyoming;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;9;Europe;Switzerland;;;March 13;<50 people at a time;March 13;(<100);March 13;N/A;;<50-100;March 13;;March 14;Cantons Ticino, Basel Country and Jura;March 15;severe cases;Corona Emergency;March 12;CHF10 billion ($10.6 billion) in emergency aid;March 13;February 25;;;;;;
67;10;Europe;UK;;;March 16;N/A;;N/A;;;;;March 13;Recommendations;February 4;N/A;;with symptoms;High;March 15;N/A;;January 31;;;;;;
68;11;Europe;Norway;;;March 12;1 metre apart;March 14;;March 14;N/A;;;March 14;;March 14;N/A;;with contact;N/A;;N/A;;February 26;;;;;;
69;12;Europe;Sweden;;Recommendations;March 16;N/A;;<500;March 16;N/A;;<500;March 16;Recommendations;March 14;N/A;;with symptoms;Very High;March 10;people who take leave from work due to sickness will receive sick pay from the moment their absence begins;March 11;January 31;;;;;;
70;13;Europe;Netherlands;;;March 16;;March 16;;March 16;N/A;;<100;;China, Iran, Italy, and South Korea;March 13;N/A;;with symptoms;N/A;;N/A;;February 27;;;;;;
71;14;Europe;Denmark;;;March 11;N/A;;;March 11;N/A;;<100;March 11;;March 13;X;March 14;with symptoms;State Emergency;March 13;making an extra 200bn Danish kroner ($30bn) available for banks to lend to companies;March 12;February 27;;;;;;
72;15;Asia;Japan;;;March 2;N/A;;;February 26;N/A;;unimportant events asked to reschedule;February 26;;March 3;People asked to avoid large gatherings;February 26;with symptoms;State Emergency;March 5;270 billion yen ($2.5 billion) reserve fund;March 5;January 23;;;;;;
73;16;Europe;Belgium;;;March 12;;March 13;X;March 10;N/A;;<1000;March 10;China;February 27;N/A;;with symptoms;Phase 2;March 10;N/A;;February 4;;;;;;
74;17;Europe;Austria;;;March 16;;March 17;;March 15;N/A;;;March 15;;March 16;Non essential shops closed;March 17;widely available;N/A;;N/A;;February 25;;;;;;
75;18;Middle East;Qatar;;;March 10;N/A;;Recommendations;March 12;N/A;;Recommendations;March 12;Only Qatari residents can enter for two weeks;March 18;Public transport suspended;March 15;N/A;N/A;;Banks are to postpone loan installments with a grace period of 6 months. Central bank is to provide additional liquidity to banks operating. The logistical areas and small and medium industries are exempt from paying rent for six months. Certain industries are exempt from paying electricity and water for 6 months.;March 15;February 29;;;;;;
76;19;Oceania;Australia;;Recommendations;;Recommendations per city;;<100;March 18;N/A;;<100;March 18;Italy, China, South Korea and Iran;;People asked to avoid large gatherings, stay home mostly if possible;;With symptoms, travel history abroad and contact with positive patients;Biosecurity Emergency;March 18;Reserve Bank of Australia cut interest rates in response to the outbreak. Official interest rates were cut by 0.25% (25 base points) to 0.5%.;March 3;January 25;;;;;;
77;20;Asia;Malaysia;;;March 18;;March 18;Until April 30;;N/A;;;March 18;All visitors;March 18;restricted movement;March 18;widely available;N/A;;"""Covid-19 Pandemic Fund"" to supporting medical services and the essential needs of marginalised groups";March 19;March 11;;;;;;
78;21;Europe;Greece;;;March 10;;March 13;without spectators;March 13;N/A;;;March 13;Italy, Albania, North Macedonia, Spain;March 16;non essential shops are closed;March 13;with symptoms;State Emergency;March 17;N/A;;February 26;;;;;;
79;22;Europe;Finland;;;March 16;N/A;;x;;N/A;;<10;March 16;Recommendations;March 16;2 weeks;March 16;risk groups;State Emergency;March 16;five billion euros into a support package for businesses, alongside support for municipalities and social and healthcare spending;March 16;January 23;;;;;;
;;;;;;;;;;;;;;;;;;;;;;-banks also said they would be ready to offer private customers repayment holidays, during which only interest would be paid on mortgages;;;;;;;;
80;23;Asia;Singapore;;N/A;;N/A;;;March 18;N/A;;<250;March 18;Recommendations;March 18;N/A;;travelers with contact;DORSCON level Orange;March 12;Allocation of 5.6 billion Singapore dollars ($4.02 billion) to help businesses and households affected by COVID-19. Another 800 million Singapore dollars will go to support the fight against the virus and to the health ministry.;February 18;January 23;;;;;;
81;24;Middle East;Bahrain;;;February 25;N/A;;N/A;;N/A;;N/A;;Iran, Dubai, Lebanon, Iraq;February 24 (Iran & Dubai), February 26 (Iraq & Lebanon);Lessened flights entering Bahrain;March 16;travelers and those with symptoms;N/A;;BD4.3 billion ($11.39 billion) stimulus package for both private and public sector to cover water and electricity bills for three months.;March 18;February 21;;;;;;
82;25;Americas;Canada;;;March 12;By province, half of capacity or closed;March 13;;March 13;NA;;<50;March 17;Borders open only to USA;March 16th;;March 16;with symptoms;Level 3 (Escalated);February 27;$1 billion response fund, including $500 million to go to provinces and territories, a $50 million contribution to the World Health Organization and an additional $275 million to fund Coronavirus research in Canada. UPDATE: $82B in economic supports in coronavirus fight (March 18th;March 11;March 11;;;;;;
83;25;Canada;Alberta;;;;;;;;;;;;;;;;;;3/17/2020;;;;;;;;;
84;25;Canada;British Columbia;;;;;;;;;;;;;;;;;;3/17/2020;;;;;;;;;
85;25;Canada;Manitoba;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;25;Canada;New Brunswick;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;25;Canada;Newfoundland and Labrador;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;25;Canada;Nova Scotia;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;25;Canada;Ontario;;;;;;;3/17/2020;NA;3/17/2020;<50;3/17/2020;;;;;;;;;;;;;;;;
90;25;Canada;Prince Edward Island;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;25;Canada;Quebec;;;3/15/2020;;;;;;;<50;;;;;;;;;;;;;;;;;
92;25;Canada;Saskatchewan;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;26;Middle East;Israel;;;March 12;;March 18;<10;March 18;2020 Israeli legislative election was held;March 2;<10;March 18;;March 9;;March 17;with contact;N/A;;N/A;;February 21;;;;;;
94;27;Europe;Czech republic;;;March 16;;March 14;;March 16;N/A;;;March 16;;March 16;;;Drive-thru;State Emergency;March 12;CZK 500 million released from Government Emergency Fund for emergency purchases of medical tools needed to fight COVID-19;March 13;March 1;;;;;;
95;28;Asia;Hong Kong;;All universities and schools closed until April 20 at earliest;February 26;N/A;;x;;N/A;;;;14-day home quarantine for all arrivals with electronic bracelet to monitor. 14-day government quarantine for red flag regions including Italy, Iran, South Korea, certain regions of France, Germany, Spain;;N/A;;with symptoms;;;HKD10,000 will be given to every HK permanent resident;Announced but implementation date TBA;January 23;;;;;;
96;28;Europe;Slovenia;;;March 13;Maribor city;March 14;;March 14;N/A;;;March 14;;March 14;N/A;;needs hospitalization;Epidemic;March 14;N/A still in discussion;;March 4;;;;;;
97;29;Europe;Portugal;;;March 13;;March 13;;March 12;N/A;;;March 13;Italy, Spain, China;;N/A;;N/A;State Emergency;March 18;9.2 billion-euro package to support workers and provide liquidity for companies affected;March 18;March 2;;;;;;
98;30;Europe;Iceland;;University and secondary schools only;3/16/2020;N/A;;<100;3/16/2020;N/A;;<100;March 16;Recommendations;March 9;N/A;;with symptoms;State of emergency/distress;March 17;Companies who are having trouble earning income during COVID-19 will be given more time to pay taxes. Tourism sector companies do not need to pay overnight tax indefinitely.;March 10;February 28;;;;;;
99;31;Americas;Brazil;;School or state's discretion (all Jewish schools closed);3/18/2020;Lessen seating capacity by 70% in Rio de Janeiro;March 17;N/A;;N/A;;Recommendations;March 17;Venezuela;March 18;N/A;;N/A;Under discussion;March 18;BRL 200 billion vouchers will be given to support informal workers for four months. Central Bank has also cut interest rates to 3.75%.;March 18;February 25;;;;;;
100;32;Europe;Lebanon;;;March 12;Recommendations;March 13;;March 13;N/A;;;March 13;Recommendations;March 13;People asked to avoid large gatherings and avoid leaving their homes and the country;March 18;with symptoms;State of emergency;March 12;€3 billion aid package to combat the effects of COVID-19;March 10;February 29;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;Delay Phase;;;;;;;;;;
101;33;Europe;Romania;;;3-11-2020;N/A;;;3/14/2020;N/A;;<50;March 14;Italy;March 10;N/A;;N/A;State of Emergency;March 16;N/A;;;;;;;;
