7;By case nb;Continent;Countries;;Schools;date;Restaurants;date;Sporting Events;Date;Elections;Date;Mass Gatherings;Date;Travel Restrictions;Date;Domestic lockdown;Date;Public Testing;Health Emergency;Date;Economy Support;Date;First case(s) confirmed;Enhanced Surveillance (?);;;;;
102;34;Europe;Estonia;;;March 13;N/A;;;March 13;N/A;;;March 13;;March 13;N/A;;serious symptoms, at-risk groups, healthcare workers, and people providing vital services;Emergency situation;March 13;N/A;;February 27;;;;;;
103;35;Asia;Philippines;;;3/13/2020;;March 16;;March 16;N/A;;;March 16;;March 16;;March 16;with symptoms, travel history and exposure;State of Calamity;March 16;₱30-billion (US$581-million) worth of advance payment to its accredited health facilities;March 18;January 30;;;;;;
104;36;Middle East;Iraq;;;2/27/2020;N/A;;N/A;;N/A;;;February 27;All airports in Iraq are closed until March 24;March 17;;March 17;with symptoms;State of emergency;March 15;Under discussion;March 19;February 24;;;;;;
105;37;Africa;Egypt;;;3/14/2020;N/A;;football games are suspended for 2 weeks;3/14/2020;N/A;;<100;March 10;All airports are closed and air travel is suspended.;March 19;N/A;;with symptoms;N/A;;N/A;;February 14;;;;;;
106;38;Middle East;Kuwait;;;2/26/2020;N/A;;;3-9-2020;N/A;;;March 10;All travel to and from Kuwait;March 13;N/A;;with symptoms;N/A;;The Ministry of Finance has been asked by the Cabinet to draft a law to allocate additional financial support to cover the costs incurred in stopping the virus. The Central Bank of Kuwait has a fund worth KD 10 million, accomplished with the help of all banks to support state efforts;March 9;February 24;;;;;;
107;39;Middle East;Saudi Arabia;;;March 8;;March 15;;March 14;N/A;;X;;International & Domestic;March 15;Suspended domestic flights, trains, buses and taxis for 14 days. All transport in and out of Qatif will be suspended except for Qatif residents.;March 8 (tranport to Qatif), March 21 (suspended domestic travel);with symptoms;N/A;;The Kindgom of Saudi Arabia has pledged to donate $10 million to support the WHO in their efforts to study and combat the virus. More plans are under discussion.;March 11;March 2;;;;;;
108;40;Europe;Poland;;;March 12;;March 13;;March 10;N/A;;;March 10;International & Domestic;March 13;;March 14;with symptoms and interactions with those tested positive;Epidemic Threat Status;March 12;"Employee Security - worth PLN 30 billion;";March 18;March 4;;;;;;
;;;;;;;;;;;;;;;;;;;;;;"Enterprise Financing - 74.2 billion PLN;";;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;"Health Care - PLN 7.5 billion;";;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;"Strengthening the Financial System - PLN 70.3 billion;";;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;Public Investment Program - PLN 30 billion.;;;;;;;;
109;41;Asia;India;;Upon state's discretion;3-5-2020;Delhi;March 19;;3-7-2020;N/A;;Upon state's discretion;March 12;European Union, United Kingdom, Turkey, Afghanistan, Philippines, and Malaysia until March 31;March 18;Indo-Bangladesh, Indo-Nepal, Indo-Bhutan,Indo-Myanmar and Indo-Pakistan borders are closed to international travelers. The states of Sikkim and Himachal Prades have closed their borders. Punjab will be barring all public transport.;"March 13 (Indo-Bangladesh, Indo-Nepal, Indo-Bhutan and Indo-Myanmar); March 15 (Indo-Pakistan); March 17 (Sikkim); March 19 (Himachal Prades); March 21 (Punjab)";with symptoms and interactions with those tested positive;N/A;;Government is discussing plans for cash transfers to the informal sector. The Reserve Bank of India has introduced policies that could be used in order to pump more rupee liquidity for banks.;March 18;January 30;;;;;;
110;42;Asia;Indonesia;;Jakarta, Central Java, East Java, Depok, Bogor, West Kalimantan;3/14/2020;N/A;;N/A;;N/A;;Museums, Parks and Zoos only;March 13;China, Italy, South Korea and Iran only;"February 5 (China); March 7 (South Korea, Italy, Iran)";Upon state's discretion;March 16;with symptoms and interactions with those tested positive;Emergency situation;March 17;Bank Indonesia has cut its interest rates to 4.75%. Deposit facility rates have been lowered to 4% and lending facility rate to 5.5%.;February 20;March 2;;;;;;
111;43;Middle East;Lebanon;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;44;Middle East;UAE;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;45;Asia;Thailand;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;46;Europe;San Marino;;;3/14/2020;;March 14;;3/14/2020;N/A;;;March 14;;March 14;;March 14;N/A;N/A;;N/A;;February 27;;;;;;
115;47;Americas;Chile;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;48;Europe;Russia;;March 21 to April 12 (Moscow only);March 16;N/A;;;March 16;N/A;;X;March 16;;March 18;Borders open only to citizens and diplomats;March 16;with symptoms;N/A;;N/A;;March 2;;;;;;
117;49;Asia;Vietnam;;Until late March (Ha Noi) and April 5 (Ho Chi Minh). Other cities' schools are closed until further notice.;February 3;Bars and clubs only (Hanoi and Ho Chi Minh City) until March 31;March 9;;March 9;N/A;;X;;People from or who passed through China, France South Korea or Iran are barred. Flights with Malaysia are cancelled until March 31.;March 17;N/A;;with symptoms;Under discussion;;N/A;;January 23;;;;;;
118;50;Asia;Taiwan;;Suspend only if there is a positive case;February 21;;;;;;;Taipei Main Station only;February 29;All foreigners, except diplomats and foreign resident permit holders;March 18;;;;;;;;January 21;;;;;;
119;51;Europe;Luxembourg;;until mid april;March 13;;March 17;;March17;NA;;;March 17;commuters (fr, de, be) still allowed to come in;March 17;free to leave home and gather with other family members;;with symptoms;State of Crisis;;Government is putting measure in place.;March 17;February 29;;;;;;
120;52;Europe;Serbia;;School closed until the end of school year (june);March 15;Partial curfew for people above 65 with social distancing, total curfew after 8am until 5pm;March 17;;March 10;General elections postponed (no new date for now);;<50 (places supposed to be disinfected and social distancing since march 16);March 15;Borders are now completely closed as of march 19. No commercial flights are offered. Citizens needs to contact local ambassies to organize return.;March 10;Lockdown from 8am-5pm daily. To be strictly enforced on people over-65-year-olds in cities and for over-70-year-olds in towns and cities with less than 5,000 inhabitants. In 3 hotspots everything is closed except groceries and pharmacies.;March 18;with symptoms and interactions with those tested positive;State of emergency;March 15;;;March 6;;;;;;
121;53;Europe;Slovakia;;;March 13;;March 13;;March 13;N/A;;;March 13;;March 15;;March 15;drive-thru;N/A;;N/A;;;;;;;;
122;54;Europe;Bulgaria;;;March 13;;March 13;;March 13;N/A;;;March 13;Recommendations;;Closed to certain countries;March 16;Contact tracing;State Emergency;March 13;N/A;;March 8;;;;;;
123;55;Middle East;Brunei;;;;;;;;;;;;;;;;;;;;;March 8;;;;;;
124;56;Europe;Albania;;;March 8;;March 12;;March 12;N/A;;;March 12;;March 15;;March 10;travellers with symptoms;N/A;;-1000 euros bonus for medical staff, and a 500 euro bonus for medical workers;March 10;March 8;;;;;;
;;;;;;;;;;;;;;;;;;;;;;-3 month loan holiday;;;;;;;;
125;57;Americas;Peru;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;58;Africa;South Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;59;Europe;Croatia;;;March 16;;March 17;;March 17;N/A;;;March 17;Recommendations;March 15;N/A;;With symptoms and exposure only;N/A;March 17;Government decided to cap prices on food and drugs. Prices at most will be the prices set back in January 30.;March 15;February 25;;;;;;
128;60;Africa;Algeria;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;61;Americas;Panama;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;62;Americas;Argentina;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;63;Asia;Pakistan;;Until April 5;March 13;;;;March 16;N/A;;;March 13;International flights except those at Islamabad, Karachi and Lahore airports;March 13;Land borders are closed;March 16;;;;;;February 26;;;;;;
132;64;Europe;Hungary;;;March 16;from 3pm;March 16;;March 16;N/A;;<100 indoors;March 16;China, Iran, Italy, Israel and South Korea;March 11;Only residents are allowed;March 11;N/A;N/A;;N/A;;March 4;;;;;;
133;65;Europe;Georgia;;School break extended until April 1;March 12;;March 20;(<100);March 12;N/A;;(<100);March 12;China, Iran, Italy;February 26;;March 16;N/A;N/A;March 20;Postponed payment of property tax and income tax for hotels, restaurants, travel agencies and tour companies for four months;;February 26;;;;;;
134;66;Americas;Ecuador;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;67;Europe;Belarus;;;March 20;N/A;;;March 20;N/A;;;March 20;Recommendations;March 20;N/A;;widely available;N/A;;N/A;;February 28;;;;;;
136;68;Americas;Costa Rica;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;69;Europe;Cyprus;;;March 15;;March 15;;March 15;N/A;;;March 15;all foreigners;March 15;;March 15;N/A;State of emergency;March 15;€700m stimulus package to assist the economy;March 15;March 9;;;;;;
;;;;;;;;;;;;;;;;;;;;;;-reduction in VAT;;;;;;;;
138;70;Europe;Latvia;;Until April 14;March 13;N/A;;;March 12;N/A;;<50;March 12;;March 17;;March 17;N/A;State of emergency;March 13;"1 billion euro support for businesses affected by coronavirus provided as ""financial instruments"" (such as tax holidays or sick leave pay) via the state-owned ALTUM development bank";;March 2;;;;;;
139;71;Americas;Mexico;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;72;Americas;Colombia;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;73;Americas;Oman;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;74;Europe;Bosnia and Herzegovina;;;March 10;;March 18;;March 18;N/A;;;March 18;Austria, Belgium, France, Germany, Italy, Iran, Japan, Romania, Spain, South Korea, Switzerland, and Hubei Province, Wuhan, Serbia;March 19;risk countries;March 18;N/A;State of emergency;March 17;N/A;;March 5;;;;;;
143;75;Europe;Armenia;;Until March 23;March 13;N/A;;Until March 23;March 13;postponed the 2020 Armenian constitutional referendum;March 16;<20;March 16;risk countries;March 16;;March 16;N/A;State of emergency;March 16;N/A;;March 1;;;;;;
144;76;Africa;Tunisia;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;77;Europe;Malta;;Until March 20;March 13;;March 12;Football games to be played indoors;March 12;N/A;;;March 12;China, Italy, Germany, France, Spain and Switzerland;March 11;N/A;;with symptoms or contact;N/A;;€1.81 billion package of measures to reinforce our economy;March 19;March 7;;;;;;
146;79;Asia;Azerbaijan;;;March 2;With guidelines on operating;March 14;;March 14;N/A;;;March 14;China, Iran, Turkey, Georgia;March 14;;;;;;;;;;;;;;
147;80;Europe;North Macedonia;;2 weeks (subject to extension);March 10;N/A;;;March 10;Early parliamentary elections postponed;;;March 10;High risk countries as declared by WHO;March 13;;March 16;N/A;State of Emergency;March 18;N/A;;February 26;;;;;;
148;81;Europe;Moldova;;2 weeks only;March 11;N/A;;N/A;;N/A;;;February 25;"China, Iran, Italy; European countries (2 weeks)";March 10;N/A;;With symptoms or exposure;State of Emergency;March 17;N/A;;March 7;;;;;;
149;82;Asia;Afghanistan;;;March 14;;;;;;;Recommendations;March 14;Iran and Tajikistan. No visa being issued.;February 23 (Iran), March 13 (Pakistan);closed borders with Pakistan, Iran, and Tajikistan;;;;;;;;;;;;;
150;83;Americas;Dominican Republic;;;;;;;;;;;;;;;;;;;;;;;;;;;
151;84;Asia;Maldive;;;;;;;;;;;;;;;;;;;;;;;;;;;
152;85;Americas;Bolivia;;;;;;;;;;;;;;;;;;;;;;;;;;;
153;86;Africa;Senegal;;;;;;;;;;;;;;;;;;;;;;;;;;;
154;87;Asia;Sri Lanka;;;;;;;;;;;;;;;;;;;;;;;;;;;
155;88;Americas;Martinique;;;;;;;;;;;;;;;;;;;;;;;;;;;
156;89;Europe;Lithuania;;;March 12;;March 16;N/A;;N/A;;;March 16;International & Domestic;March 16;Country-wide quarantine until March 30;March 16;with symptoms;State of emergency;March 2;10% of the country's GDP (estimate €5 billion) to be shelled out for implementation of health policies, security measures, job and personal income protection and business liquidity.;March 16;February 28;;;;;;
157;90;Americas;Jamaica;;;;;;;;;;;;;;;;;;;;;;;;;;;
158;91;Asia;Cambodia;;;;;;;;;;;;;;;;;;;;;;;;;;;
159;92;Oceania;New Zealand;;;;;;;;;;;;Closing borders to non resident;March 19;;;;;;;;;;;;;;
160;93;Africa;Reunion;;;;;;;;;;;;;;;;;;;;;;;;;;;
161;94;Asia;Kazakhstan;;3 weeks;;;;;;N/A;;;;;;;;;;;Allocation Kazakhstani tenge (KZT) 300bn ($740mn) towards projects to boost employment through infrastructure construction and maintenance projects;;;;;;;;
162;95;Americas;Paraguay;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;96;Europe;Turkey;;;March 16;Only bars and nightclubs will close;;No audience;March 13;N/A;;N/A;;China, South Korea, Iran, Iraq;March 13;Closed borders with Iran;February 23;N/A;N/A;;Government scrapped requirement for ethanol in gasoline in order to make more disinfectants;;;;;;;;
164;97;Americas;French Guiana;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;98;Americas;Cuba;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;99;Europe;Lichtenstein;;;;;;;;;;;;;;;;;;;;;;;;;;;
167;100;Americas;Uruguay;;;;;;;;;;;;;;;;;;;;;;;;;;;
168;101;Asia;Bangladesh;;;;;;;;;;;;India, Kuwait, Qatar;;;;;;;;;;;;;;;
169;102;Europe;Ukraine;;;;;;;;;;;;;;;;;;;;;;;;;;;
170;103;Americas;Aruba;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;104;Africa;Cameroon;;;;;;;;;;;;;;;;;;;;;;;;;;;
172;105;Africa;Burkina Faso;;;;;;;;;;;;;;;;;;;;;;;;;;;
173;106;Europe;Monaco;;;March 16;;March 16;;March 16;N/A;;N/A;;Recommendations;;N/A;;N/A;N/A;;N/A;;February 29;;;;;;
174;107;Europe;Jersey;;;;;;;;;;;;;;;;;;;;;;;;;;;
175;108;Africa;Ghana;;;;;;;;;;;;;;;;;;;;;;;;;;;
176;109;Africa;Nigeria;;;;;;;;;;;;;;;;;;;;;;;;;;;
177;110;Africa;Namibia;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;111;Africa;Congo (Kinshasa);;;;;;;;;;;;;;;;;;;;;;;;;;;
179;112;Americas;Venezuela;;;;;;;;;;;;;;;;;;;;;;;;;;;
180;113;Americas;Trinidad and Tobago;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;114;Americas;Honduras;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;115;Africa;Ethiopia;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;116;Americas;Guatemala;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;117;Africa;Gabon;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;118;Americas;Saint Vincent and the Grenadines;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;119;Africa;Kenya;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;120;Americas;Santa Lucia;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;121;Asia;Mongolia;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;122;Africa;Rwanda;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;123;Africa;Togo;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;124;Americas;Cayman Island;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;125;Africa;Guinea;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;126;Europe;Andorra;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;127;Europe;Guernsey;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;128;Americas;Antigua and Barbuda;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;129;Africa;Eswatini;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;130;Americas;Curacao;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;131;Asia;Bhutan;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;132;Africa;Sudan;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;133;Asia;Nepal;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;134;Americas;Suriname;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;135;Africa;Ivory Coast;;;;;;;;;;;;;;;;;;;;;March 12;;;;;;
203;136;Middle East;Jordan;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;137;Africa;Mauritania;;;;;;;;;;;;;;;;;;;;;;;;;;;
